lng,lat
-4.0946606,56.571172
-4.1909987,56.237905
-3.5716135,56.558219
-4.3228581,56.310091
-2.1584714,57.224650
-3.0926138,56.234278
-3.1864464,56.210493
-3.3315999,57.657527
-4.8990162,56.004992
-4.1771013,56.248934
-4.4617729,56.179784
-3.8619823,56.616209
-3.1680715,56.303366
-2.8000962,57.073616
-3.2209666,56.254157
-2.4762960,57.200400
-3.6848166,56.138903
-4.8773714,54.878121
-5.4149118,55.880196
-5.4149118,55.880196
-3.0337053,56.342836
-3.0337053,56.342836
-3.9126518,56.770443
-3.4924194,56.571775
-5.4465392,55.982439
-3.2602653,57.562586
-3.4121661,57.262987
-4.3262750,56.339684
-4.2481336,56.246315
-4.3809206,56.143981
-3.4257996,56.141265
-4.1630961,56.691944
-4.2846093,56.267935
-4.1350628,57.485231
-4.0816244,57.484328
-3.9477867,56.630441
-3.4547608,57.673688
-3.8382456,56.788185
-2.4625932,56.738885
-4.3796525,56.227588
-4.1162633,57.067100
-2.5567874,56.807585
-2.9384029,57.070410
-4.0097411,56.627389
-4.3793878,56.184283
-2.7639413,57.007813
-5.2446569,56.127898
-3.6220264,56.557572
-3.0163490,56.401919
-3.0178590,56.464529
-3.0128919,56.655668
-4.2274861,57.463236
-3.6104025,57.655631
-3.0134612,56.463936
-3.0451466,56.287933
-4.1162748,56.695714
-3.1625678,56.297757
-2.2512985,57.237254
-3.1751273,56.627289
-3.1481076,56.650002
-3.9486473,56.770335
-5.4987669,55.816699
-2.8263083,57.072996
-2.0839477,57.370153
-4.2657106,57.536595
-4.7498428,56.208224
-3.1634400,57.093677
-3.3945306,56.397344
-4.9241369,55.946778
-3.0281807,56.678004
-2.0839477,57.370153
-4.0276121,56.580641
-4.3071205,56.477902
-4.2913647,56.485922
-3.2736736,57.707082
-2.5459618,57.188439
-2.5459618,57.188439
-2.4615037,56.820632
-4.1229688,57.489569
-2.0839477,57.370153
-4.2980838,57.521632
-4.4853090,57.556992
-3.4880634,57.696658
-2.5195035,57.659428
-4.1616569,56.735192
-2.4987651,57.148391
-3.7033180,56.280536
-4.1859703,56.248778
-4.0202770,56.580491
-2.5254309,57.024133
-4.0716749,57.485390
-4.0716749,57.485390
-3.0756074,56.394591
-5.2458594,55.579103
-4.4363857,56.086817
-4.1227810,57.474836
-4.7756154,55.236302
-3.2249231,57.465824
-3.1392635,56.951055
-3.0366387,57.044481
-3.2236888,56.258533
-2.5538915,56.811101
-4.9096095,55.968786
-3.1635160,56.615449
-3.9001869,56.718068
-2.6120471,56.566414
-4.3078646,56.597052
-4.1027741,56.541381
-3.7016724,56.294397
-3.6173395,56.562125
-3.0860827,56.301597
-2.6037763,56.602894
-3.3740986,56.549598
-2.0847566,57.360451
-4.4893452,57.248237
-4.4893452,57.248237
-4.2177067,56.239316
-3.4026106,56.651887
-3.2174339,56.254731
-3.7047683,54.884257
-3.9728498,56.096984
-4.4204204,56.183298
-2.4681233,57.051490
-4.3946345,56.196202
-3.1462365,56.216416
-3.7049201,57.168342
-4.0303460,56.251430
-2.5454377,57.186554
-2.6497053,56.811088
-5.0929174,56.254589
-4.3729679,56.158604
-4.0700081,57.485418
-4.0700081,57.485418
-2.5158320,57.660520
-4.9155735,56.045861
-4.2264343,56.250662
-3.4971622,57.673193
-3.7082429,55.027012
-2.9788213,56.694214
-3.9594836,56.099714
-3.2917907,57.650304
-2.2097258,57.122258
-2.8928569,57.076223
-4.3548688,54.901066
-4.3012568,57.421924
-5.2095450,56.393653
-3.2426846,56.256906
-4.2844599,56.376410
-3.6903437,56.118160
-2.3063784,57.056931
-4.2962097,56.297108
-5.1797374,56.152601
-3.6873217,56.126288
-3.5798945,56.561708
-4.2201661,56.248348
-2.2616173,56.986514
-4.6875886,57.147540
-4.3661070,56.486317
-5.5513869,56.060650
-3.7336065,56.435659
-4.9107282,56.043368
-2.7697222,56.649324
-4.3580514,56.107032
-3.3174950,56.334123
-5.3811131,56.573386
-3.5725207,56.187109
-3.0415709,56.393983
-3.6985883,57.246593
-3.5692726,57.304067
-2.9334020,56.442103
-3.7864566,54.864829
-3.7286286,56.290160
-3.0954731,56.690906
-5.5181727,55.995968
-3.8063894,57.210768
-3.2349628,56.407931
-4.2258929,56.246897
-4.5777666,57.568887
-4.8640202,57.269459
-5.5542208,56.056522
-3.6252673,56.557260
-4.5392123,56.183610
-3.7345339,56.288549
-3.6919253,57.166272
-3.5388613,55.179267
-5.5530385,56.078584
-3.0980055,56.665728
-3.0980055,56.665728
-2.6517313,56.824014
-4.6298023,57.337128
-3.1191183,57.451356
-3.5481488,56.541442
-2.5839545,56.869538
-4.9391475,55.946151
-3.8472892,56.271372
-2.5401094,57.059465
-2.5401094,57.059465
-2.2679990,56.958653
-3.3276392,56.563491
-2.9028479,56.439544
-4.3013828,56.915742
-3.5851882,56.177782
-4.3714317,57.631068
-4.7522000,56.209609
-2.6629621,57.254530
-3.3691135,56.546688
-2.9911460,57.069105
-3.2031720,57.483730
-4.2018050,56.257484
-4.3703394,56.228306
-4.0235786,56.581336
-5.2127303,56.585046
-2.2084918,57.401538
-2.2698513,56.987395
-3.8179073,57.279964
-3.8179073,57.279964
-4.1904851,56.242758
-4.4469187,56.681567
-2.2599280,56.980230
-3.6614824,56.436825
-3.0345471,56.314167
-3.9143069,56.287427
-4.0454569,56.383281
-2.9373324,56.437042
-2.2303030,56.978491
-4.2660038,56.387443
-4.0621015,56.391542
-4.2797343,56.487808
-4.2044628,56.247551
-4.7917612,56.176993
-3.4121741,56.339999
-4.4177094,57.445083
-4.2433781,56.498481
-4.3791616,56.331490
-3.6301556,56.178275
-4.4872040,56.201744
-3.2351690,57.042141
-2.2204110,56.974916
-3.3033686,56.389441
-3.9726389,56.102290
-3.7039186,54.884440
-4.0654988,55.007000
-4.1645678,55.104148
-4.7175786,56.244531
-3.7040706,54.884348
-3.6306614,56.152210
-4.2221739,56.246785
-3.7722388,56.742417
-3.7749564,56.730698
-3.1107379,56.654834
-3.7751037,54.883061
-3.7045323,54.884207
-4.5446062,56.084902
-2.6891426,56.728855
-3.9776409,56.093223
-4.3386088,56.144430
-4.9377785,55.978814
-3.2196657,56.248779
-3.7042264,54.884346
-3.4330698,56.423501
-3.8528758,56.619940
-3.6596986,56.228203
-3.0786364,56.673085
-4.0868722,56.754619
-3.7040706,54.884348
-3.8296285,56.779327
-5.4817147,56.403069
-3.3704272,56.547033
-3.7732822,56.521360
-3.1410069,56.208647
-4.2256573,56.246731
-4.9441799,55.978661
-3.0572367,57.055350
-2.8070833,57.076356
-4.1907817,56.242582
-3.2589770,56.305710
-3.9068378,55.024870
-4.4182151,56.181543
-5.4927972,56.271854
-3.2428911,57.690320
-3.7188621,56.252555
-3.5060825,56.259821
-3.3432197,56.600880
-4.1751336,56.393385
-2.6054007,56.572071
-2.8341263,56.906747
-3.7040706,54.884348
-3.6564743,56.228246
-3.6564743,56.228246
-2.7940359,56.533545
-3.4048812,56.361646
-5.0141055,55.869726
-3.9770861,56.063576
-3.9008563,56.276851
-3.7042264,54.884346
-5.4215309,55.882710
-3.3927456,56.561251
-5.0412952,56.403649
-3.2324550,57.481561
-2.5617944,56.594736
-3.7042226,54.884256
-3.7045532,54.884701
-2.5452261,56.575045
-3.3783806,57.015132
-3.9553055,56.172660
-3.7042226,54.884256
-5.1050543,56.374381
-3.0105666,57.055475
-3.3459490,56.576861
-3.2424230,56.258795
-4.1690384,56.249076
-3.7667650,54.874195
-2.9566546,56.431504
-5.4704993,56.416645
-3.4415064,56.653868
-3.4415064,56.653868
-2.8902598,56.643129
-4.3756684,57.542030
-3.1492634,56.955455
-4.3138604,56.481910
-3.5850346,56.177964
-2.2561508,56.981226
-2.7607082,57.308594
-3.9705450,56.375509
-3.4129270,56.447812
-3.6655223,56.169087
-4.5390997,57.301519
-4.5390997,57.301519
-4.5460564,56.087389
-3.7052980,54.883881
-3.7042226,54.884256
-3.7042226,54.884256
-4.9733169,56.009424
-5.0887975,56.257568
-3.7042264,54.884346
-3.4838598,56.165292
-4.5685625,55.077059
-2.9500389,56.432812
-3.7043784,54.884254
-3.7042226,54.884256
-3.7052943,54.883792
-4.2257317,56.246900
-3.7042226,54.884256
-2.1438137,57.118039
-3.1057839,55.644055
-3.7466841,56.625070
-3.7042226,54.884256
-3.7042226,54.884256
-3.7042226,54.884256
-5.5120046,56.118780
-3.7042226,54.884256
-2.6151649,56.572023
-3.3951797,56.397813
-3.6009891,57.605531
-3.7043784,54.884254
-3.6950868,56.225926
-5.5889981,56.153968
-2.8397480,56.497936
-2.3688721,57.265439
-4.1703209,55.963268
-4.1703209,55.963268
-4.3145792,57.511536
-3.1210088,56.462113
-3.4585097,55.313889
-3.5572885,56.407447
-3.6720145,55.021134
-3.1864444,56.672104
-4.3066511,56.188709
-5.4326957,56.182328
-3.1864584,56.672032
-3.2711100,56.526669
-3.8647548,57.543246
-3.4075586,56.126559
-4.1894891,56.239729
-5.5882618,56.154709
-5.4773538,56.404675
-5.0993870,54.926599
-3.0175032,56.463364
-2.3662665,57.236791
-5.4808450,56.435774
-3.0501506,57.056047
-4.2132019,56.245148
-3.8660830,57.575750
-3.7679907,55.101204
-3.7679907,55.101204
-3.8930605,57.147800
-2.9955670,56.678484
-4.1267299,56.689964
-2.5641888,56.591490
-4.5917047,56.120773
-5.5859418,56.086623
-3.6228185,55.081117
-3.0791501,56.691049
-3.0115197,56.677511
-2.4793612,56.746278
-4.3987204,54.927624
-3.2201835,57.643559
-3.2348236,56.568580
-4.1102455,56.391990
-4.1157415,56.394682
-3.2654516,56.550033
-3.1864930,56.672094
-3.1865093,56.672094
-3.8796651,56.269627
-3.9593275,56.099806
-3.4215091,56.330008
-3.3936880,56.396455
-4.3560923,56.437439
-3.1769491,56.213612
-2.7019789,57.240574
-3.1866401,56.672102
-2.4793612,56.746278
-3.2233919,56.259344
-2.3929453,57.439543
-3.6390890,56.161084
-3.1864742,56.672014
-3.9464524,56.188706
-4.9511202,54.897298
-3.1864770,56.672104
-4.0400964,56.191958
-3.8105779,54.937093
-4.2607619,56.162056
-4.1413224,56.397209
-3.4170920,56.341739
-3.4170920,56.341739
-4.3560923,56.437439
-4.3560923,56.437439
-4.3560923,56.437439
-2.9357518,56.445320
-2.5666008,57.006158
-4.2584143,57.437526
-4.3282033,56.320344
-4.3297007,56.316254
-3.2240460,56.259607
-4.1232609,56.209430
-3.0158567,56.462479
-3.8920225,56.718192
-3.7183144,56.290752
