lng,lat
-3.1523940,56.212046
-3.7038997,55.977161
-3.5448297,55.894520
-4.0923585,56.204565
-2.1765784,57.132370
-4.4526405,56.069418
-3.7376866,55.990798
-3.1971846,56.293744
-4.2126288,56.249202
-4.6319478,55.629785
-3.0010837,56.400606
-3.8184635,56.126673
-4.1702562,55.813182
-3.9449877,55.936477
-4.3019759,55.797664
-3.2971749,56.526346
-2.7180212,56.503192
-4.1599633,54.873229
-3.8078676,56.394163
-3.2133943,55.937769
-4.4122891,55.855408
-3.2009962,55.899253
-4.4189468,55.787688
-4.6894307,55.649248
-3.6089068,56.016808
-3.7509379,56.110036
-2.9855099,56.606474
-4.6223884,55.458036
-4.4304870,55.834647
-2.1902878,57.131991
-3.4665054,56.406757
-3.2510176,55.946271
-3.7006588,55.990955
-2.8505135,56.470910
-4.6111290,55.436074
-2.1151129,57.181579
-2.1740124,57.197995
-2.8489708,56.474514
-3.9610960,56.191440
-4.4049431,55.921899
-2.0884295,57.160131
-2.9154092,56.469550
-3.7441360,55.991605
-3.2987250,55.952175
-3.1722440,55.900429
-2.8166820,56.482817
-3.1695556,55.901443
-4.1962896,55.136567
-4.5331396,55.477264
-3.4379234,56.422366
-4.3068190,55.889741
-3.5276705,56.598302
-2.1321149,57.125239
-3.4149686,56.415442
-3.4101410,56.416396
-3.4021385,56.419182
-3.4482954,56.439318
-3.4611277,56.435573
-3.1797940,55.637704
-4.9504776,54.897043
-2.9047362,56.225247
-3.8761585,55.571782
-4.6319478,55.629785
-4.1366007,55.079475
-2.4162352,57.275352
-2.1024116,57.134788
-2.2936011,57.182007
-3.2748870,56.637088
-2.7636727,55.372598
-4.7315362,56.009627
-3.5256988,55.126589
-3.5243481,55.131890
-4.8650083,56.035361
-3.9132388,55.355514
-4.4254470,55.912671
-4.6515646,55.966432
-4.1652731,55.809675
-3.8741849,56.061588
-4.3275142,55.907372
-2.1021171,57.165753
-2.5650377,56.593822
-3.4506353,56.585747
